chain_id,post_id,tweet_id,author_id,text,in_reply_to,author_username
0,0,1631543523164975106,1.4654341218874368e+18,"@realjorgemendoz @JesseKellyDC If a woman is pregnant and they are victims of a violent crime the fetus federally (and by 38 states) is granted personhood? If it is murder, it is considered dbl homicide yet a fetus aborted has no value? Makes no sense. Dbl standard. #fetusisaperson",1.6314229571709706e+18,cryptomouths
0,1,1631422957170970625,7.577200399611453e+17,"@JesseKellyDC So, you believe this 12 week-old zygote who won't live to be a human if outside the woomb under any circumstances, ever, at all, needs ´´protection´´? https://twitter.com/realjorgemendoz/status/1631422957170970625/photo/1",1.6314066544690708e+18,realjorgemendoz
1,0,1631004869166333955,222260849.0,"@Diaryofagenius @mnewhard19 @conservmillen The science doesn’t really determine “personhood.” That’s a philosophical question. 

It determines the life &amp; species of a living organism. The fetus is a living homo sapien, even if we disagree on the definition of personhood.",1.6307936094098555e+18,mearmstrong77
1,1,1630793609409855488,33689378.0,@mearmstrong77 @mnewhard19 @conservmillen That science has a strong clinical handle on beingness (or personhood if you prefer).,1.6307934967173202e+18,Diaryofagenius
2,0,1630403767475601409,1.3255331243280916e+18,"@BumpstockBarbie What is it with these guys, their sanctimony knows no bounds.
You were a clump of cells, you were a zygote, you were a fetus and yet you proclaim that those same phases are not personhood or human.
Your very existence started from a clump of cells.
But fuck all the other clumps🤨",1.6304018165285806e+18,MyNameisDawn2
2,1,1630401816528580610,3308238607.0,"A “pinhead zygote” is a genetically complete human being. 

“Persons” are living human beings.

All living human beings should have legal personhood status regardless of age or developmental stage. https://twitter.com/HumorScribbler/status/1630387234045308929",,BumpstockBarbie
3,0,1630329956638023688,1.4509145832800297e+18,"@PLLibertarian @squishsmawmaw @AliceKing69 @JamesDean675 In the case I can think of, the woman attempted suicide and the fetus died, but she happen to live. She didn’t plan it that way. You’re ignoring the most important part- fetuses don’t have legal personhood, so their “rights”fall under hers",1.6303244627625738e+18,Sherylbug6
3,1,1630324462762573825,1.5379272399326003e+18,@Sherylbug6 @squishsmawmaw @AliceKing69 @JamesDean675 Unborn humans don’t unalive themselves. The abortionist does.,1.6303237922359542e+18,PLLibertarian
4,0,1629984250165608449,1.270840507845886e+18,@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 https://www.washingtonpost.com/outlook/2022/05/12/if-courts-recognize-fetal-personhood-womens-rights-are-curtailed/,1.6299831547644068e+18,KateTDubs
4,1,1629983154764406785,1.270840507845886e+18,"@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 These concerns are not hyperbole. You cannot designate an embryo as a person, its death as a crime, without policing the lives and actions of women of childbearing age. This should be an alarming concept to all who believe in freedom and equality.",1.6299830647588127e+18,KateTDubs
4,2,1629983064758812673,1.270840507845886e+18,"@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 their actions are not causing the death (miscarriage) of a “person” (fertilized egg)? And who will determine prohibited or policed activities? Athletics, diet, activities, alcohol consumption, medical treatments?",1.6299829899659837e+18,KateTDubs
4,3,1629982989965983744,1.270840507845886e+18,"@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 egg or embryo and criminalizing its “death” is a dangerous and medically/logically unsound path. If an abortion is a criminal act, what is a miscarriage? Should every miscarriage be investigated for potential homicide? To what extent should fertile-age women be policed to ensure",1.629982892351959e+18,KateTDubs
4,4,1629982892351959040,1.270840507845886e+18,@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 just how common early-stage miscarriage is. Many women miscarry very early-term pregnancies without even having known they were pregnant. Eggs often are fertilized and implant and are quickly discarded by the body for many reasons. Seeking to grant “personhood” to a fertilized,1.6299828504844247e+18,KateTDubs
4,5,1629982850484424704,1.270840507845886e+18,"@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 Giving juridical personhood to fetuses before they’re born would have astronomically harmful effects for all women and girls of childbearing age. What hard-line anti-choice people fail to understand or address is the complexity of pregnancy, the female reproductive system, and",1.6299791821880689e+18,KateTDubs
4,6,1629979182188068866,1010353262.0,"@KateTDubs @lonerjunk @LifeNewsHQ @TiwannaRN42 Yes, I think you are correct, that will likely be the next debate. What do you think is the medical/logical unsoundness of recognizing legal personhood of an unborn human life?",1.629971620294189e+18,Francis_Liguori
4,7,1629971620294189058,1.270840507845886e+18,@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 …legal personhood the way their mothers do. This is about to be the next major fight in the abortion law war with the overturning of Roe. Granting fetuses full juridical personhood is a dangerous and medically/logically unsound path.,1.6299715750165053e+18,KateTDubs
4,8,1629971575016505350,1.270840507845886e+18,"@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 No. 

The difference between that scenario &amp; pregnancy is that both twins are full juridical people since they have been born. Fetuses do not &amp; should not have juridical personhood. They should be acknowledged as humans worth saving if circumstances allow, but they do not have…",1.6299673041959772e+18,KateTDubs
4,9,1629967304195977217,1010353262.0,"@KateTDubs @lonerjunk @LifeNewsHQ @TiwannaRN42 What if they could choose to either: 1. kill the other now with a minimal procedure &amp; live a normal life immediately or 2. wait over a year w/ some suffering/risk, but both would likely live?

Can one choose to kill the other when in time both would likely live a healthy life?",1.6299605755508818e+18,Francis_Liguori
4,10,1629960575550881793,1.270840507845886e+18,@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 That would depend on the individual situation.,1.6299581022369382e+18,KateTDubs
4,11,1629958102236938240,1010353262.0,@KateTDubs @lonerjunk @LifeNewsHQ @TiwannaRN42 Could a conjoined twin kill their twin to prevent suffering &amp; live a better longer/life?,1.62995666388847e+18,Francis_Liguori
4,12,1629956663888470017,1.270840507845886e+18,@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 Nope. A born baby is not attached to anyone’s organ in a parasite-like manner that causes harm and risk to the organ owner.,1.629955711664005e+18,KateTDubs
4,13,1629955711664005120,1010353262.0,@KateTDubs @lonerjunk @LifeNewsHQ @TiwannaRN42 Would it be ok to kill a born baby to prevent suffering?,1.629952637344043e+18,Francis_Liguori
4,14,1629952637344043010,1.270840507845886e+18,"@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 Both are still physical trauma on top of everything else pregnancy/childbirth entails &amp; risks mentally &amp; physically. 

I never said fetuses aren’t worth saving. I’m saying preventing suffering/death for born women &amp; girls should take priority over preventing death for fetuses.",1.629950716679979e+18,KateTDubs
4,15,1629950716679979008,1010353262.0,"@KateTDubs @lonerjunk @LifeNewsHQ @TiwannaRN42 Most tears they are minor &amp; heal quickly &amp; the US unnecessarily over performs c-sec 

I’d rather neither die &amp; an effort be made to save the baby whenever possible. 

If you are concerned about children abortions kill children. It’s just easier to claim they are not worth saving",1.6299444766671094e+18,Francis_Liguori
4,16,1629944476667109377,1.270840507845886e+18,"@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 Tears happen 9/10 times for 1st-time moms &amp; the C-sec rate would go up if abortion were banned.

I’d rather a fetus die than a woman or child be forced to go thru a massive medical event that permanently alters her body &amp; involves physical trauma w/ a non-trivial risk of death.",1.6298614271955763e+18,KateTDubs
4,17,1629861427195576321,1010353262.0,"@KateTDubs @lonerjunk @LifeNewsHQ @TiwannaRN42 That is not fully correct there are ways to mitigate perineal tear, which do not always happen &amp; the US has one of the highest C-Section rates (hint $ is involved). But It’s not about forcing to go through that, but not allowing killing. It might sound the same, but there’s a dif",1.629707677571113e+18,Francis_Liguori
4,18,1629707677571112961,1.270840507845886e+18,@Francis_Liguori @lonerjunk @LifeNewsHQ @TiwannaRN42 All pregnancies culminate in the woman or child having her genitals ripped open or stomach cut open. No one should be forced to go through that against their will. Would you like the government to force you to have your stomach cut open or genitals ripped open against your will?,1.6296840212981064e+18,KateTDubs
4,19,1629684021298106368,1010353262.0,"@KateTDubs @lonerjunk @LifeNewsHQ @TiwannaRN42 Pregnancy is very demanding/strenuous with some risks, but it is an exaggeration to say all pregnancies cause severe physical trauma. The body recovers from pregnancy &amp; has specifically developed to support pregnancy, otherwise our species would’t have survived. Abortion kills.",1.6296803826554798e+18,Francis_Liguori
